City,Country,Venue,Tour,Revenue,Tickets_Sold,Tickets_Available
Seattle,United States,CenturyLink Field,Reputation_Stadium_Tour,8672219,56021,56021
Denver,United States,Sports Authority Field at Mile High,Reputation_Stadium_Tour,7926366,57140,57140
Chicago,United States,Soldier Field,Reputation_Stadium_Tour,14576697,105208,105208
Chicago,United States,Soldier Field,Reputation_Stadium_Tour,14576697,105208,105208
Manchester,England,Etihad Stadium,Reputation_Stadium_Tour,6169724,77258,77258
Manchester,England,Etihad Stadium,Reputation_Stadium_Tour,6169724,77258,77258
Dublin,Ireland,Croke Park,Reputation_Stadium_Tour,8567769,133034,133034
Dublin,Ireland,Croke Park,Reputation_Stadium_Tour,8567769,133034,133034
London,England,Wembley Stadium,Reputation_Stadium_Tour,12214933,143427,143427
London,England,Wembley Stadium,Reputation_Stadium_Tour,12214933,143427,143427
Louisville,United States,Cardinal Stadium,Reputation_Stadium_Tour,4928219,52138,52138
Columbus,United States,Ohio Stadium,Reputation_Stadium_Tour,6606529,62897,62897
Landover,United States,FedExField,Reputation_Stadium_Tour,11396004,95672,95672
Landover,United States,FedExField,Reputation_Stadium_Tour,11396004,95672,95672
Philadelphia,United States,Lincoln Financial Field,Reputation_Stadium_Tour,11951047,107378,107378
Philadelphia,United States,Lincoln Financial Field,Reputation_Stadium_Tour,11951047,107378,107378
Cleveland,United States,FirstEnergy Stadium,Reputation_Stadium_Tour,5148757,51323,51323
East Rutherford,United States,MetLife Stadium,Reputation_Stadium_Tour,22031386,165654,165654
East Rutherford,United States,MetLife Stadium,Reputation_Stadium_Tour,22031386,165654,165654
East Rutherford,United States,MetLife Stadium,Reputation_Stadium_Tour,22031386,165654,165654
Foxborough,United States,Gillette Stadium,Reputation_Stadium_Tour,21779846,174764,174764
Foxborough,United States,Gillette Stadium,Reputation_Stadium_Tour,21779846,174764,174764
Foxborough,United States,Gillette Stadium,Reputation_Stadium_Tour,21779846,174764,174764
Toronto,Canada,Rogers Centre,Reputation_Stadium_Tour,11177000,100310,100310
Toronto,Canada,Rogers Centre,Reputation_Stadium_Tour,11177000,100310,100310
Pittsburgh,United States,Heinz Field,Reputation_Stadium_Tour,6230876,56445,56445
Atlanta,United States,Mercedes-Benz Stadium,Reputation_Stadium_Tour,18089415,116746,116746
Atlanta,United States,Mercedes-Benz Stadium,Reputation_Stadium_Tour,18089415,116746,116746
Tampa,United States,Raymond James Stadium,Reputation_Stadium_Tour,7244264,55909,55909
Miami Gardens,United States,Hard Rock Stadium,Reputation_Stadium_Tour,7072164,47818,47818
Nashville,United States,Nissan Stadium,Reputation_Stadium_Tour,9007179,56112,56112
Detroit,United States,Ford Field,Reputation_Stadium_Tour,6597852,49464,49464
Minneapolis,United States,U.S. Bank Stadium,Reputation_Stadium_Tour,10242024,98774,98774
Minneapolis,United States,U.S. Bank Stadium,Reputation_Stadium_Tour,10242024,98774,98774
Kansas City,United States,Arrowhead Stadium,Reputation_Stadium_Tour,6730138,58611,58611
Indianapolis,United States,Lucas Oil Stadium,Reputation_Stadium_Tour,6531245,55729,55729
St. Louis,United States,The Dome at America's Center,Reputation_Stadium_Tour,4884054,47831,47831
New Orleans,United States,Mercedes-Benz Superdome,Reputation_Stadium_Tour,6491546,53172,53172
Houston,United States,NRG Stadium,Reputation_Stadium_Tour,9350275,53800,53800
Arlington,United States,AT&T Stadium,Reputation_Stadium_Tour,15006157,105002,105002
Arlington,United States,AT&T Stadium,Reputation_Stadium_Tour,15006157,105002,105002
Perth,Australia,Optus Stadium,Reputation_Stadium_Tour,4153658,50891,50891
Melbourne,Australia,Marvel Stadium,Reputation_Stadium_Tour,6755570,63027,63027
Sydney,Australia,ANZ Stadium,Reputation_Stadium_Tour,7686564,72805,72805
Brisbane,Australia,The Gabba,Reputation_Stadium_Tour,4338127,43907,43907
Auckland,New Zealand,Mount Smart Stadium,Reputation_Stadium_Tour,3617593,35749,35749
Tokyo,Japan,Tokyo Dome,Reputation_Stadium_Tour,14859847,100109,100109
Tokyo,Japan,Tokyo Dome,Reputation_Stadium_Tour,14859847,100109,100109
