City,Country,Venue,Tour,Revenue,Tickets_Sold,Tickets_Available
Milan,Italy,Mediolanum Forum,Speak_Now_World_Tour,153303,3421,5585
Paris,France,Zénith de Paris,Speak_Now_World_Tour,201781,3598,8500
Madrid,Spain,Palacio de los Deportes,Speak_Now_World_Tour,251864,3962,3962
Birmingham,England,LG Arena,Speak_Now_World_Tour,508854,9339,9339
Belfast,Northern Ireland,Odyssey Arena,Speak_Now_World_Tour,379001,8058,8058
Dublin,Ireland,The O2,Speak_Now_World_Tour,419806,8681,8681
Manchester,England,Manchester Evening News Arena,Speak_Now_World_Tour,580558,10488,11622
London,England,The O2 Arena,Speak_Now_World_Tour,891152,15265,15681
Omaha,United States,Qwest Center Omaha,Speak_Now_World_Tour,1717104,26992,26992
Omaha,United States,Qwest Center Omaha,Speak_Now_World_Tour,1717104,26992,26992
Des Moines,United States,Wells Fargo Arena,Speak_Now_World_Tour,862771,13149,13149
Sunrise,United States,BankAtlantic Center,Speak_Now_World_Tour,1582951,24077,24077
Sunrise,United States,BankAtlantic Center,Speak_Now_World_Tour,1582951,24077,24077
Orlando,United States,Amway Center,Speak_Now_World_Tour,791980,12262,12262
Columbus,United States,Nationwide Arena,Speak_Now_World_Tour,955259,14817,14817
Milwaukee,United States,Bradley Center,Speak_Now_World_Tour,897042,13748,13748
Detroit,United States,Ford Field,Speak_Now_World_Tour,3453549,47992,47992
Saint Paul,United States,Xcel Energy Center,Speak_Now_World_Tour,1913737,28977,28977
Saint Paul,United States,Xcel Energy Center,Speak_Now_World_Tour,1913737,28977,28977
Pittsburgh,United States,Heinz Field,Speak_Now_World_Tour,4009118,52009,52009
Buffalo,United States,First Niagara Center,Speak_Now_World_Tour,966749,14487,14487
Hartford,United States,XL Center,Speak_Now_World_Tour,810165,12436,12436
Foxborough,United States,Gillette Stadium,Speak_Now_World_Tour,8026350,110800,110800
Foxborough,United States,Gillette Stadium,Speak_Now_World_Tour,8026350,110800,110800
Greensboro,United States,Greensboro Coliseum,Speak_Now_World_Tour,990701,14789,14789
Knoxville,United States,ThompsonBoling Arena,Speak_Now_World_Tour,903875,13754,13754
Montreal,Canada,Bell Centre,Speak_Now_World_Tour,1254230,13439,13439
Toronto,Canada,Air Canada Centre,Speak_Now_World_Tour,3036000,30144,30144
Toronto,Canada,Air Canada Centre,Speak_Now_World_Tour,3036000,30144,30144
Newark,United States,Prudential Center,Speak_Now_World_Tour,3875463,51487,51487
Newark,United States,Prudential Center,Speak_Now_World_Tour,3875463,51487,51487
Newark,United States,Prudential Center,Speak_Now_World_Tour,3875463,51487,51487
Newark,United States,Prudential Center,Speak_Now_World_Tour,3875463,51487,51487
Grand Rapids,United States,Van Andel Arena,Speak_Now_World_Tour,724854,11012,11012
Indianapolis,United States,Conseco Fieldhouse,Speak_Now_World_Tour,877175,13329,13329
Cleveland,United States,Quicken Loans Arena,Speak_Now_World_Tour,976954,14873,14873
Washington,United States,Verizon Center,Speak_Now_World_Tour,2068789,29303,29303
Washington,United States,Verizon Center,Speak_Now_World_Tour,2068789,29303,29303
Philadelphia,United States,Lincoln Financial Field,Speak_Now_World_Tour,4268678,51395,51395
Rosemont,United States,Allstate Arena,Speak_Now_World_Tour,1909603,26112,26112
Rosemont,United States,Allstate Arena,Speak_Now_World_Tour,1909603,26112,26112
St. Louis,United States,Scottrade Center,Speak_Now_World_Tour,1850159,27965,27965
St. Louis,United States,Scottrade Center,Speak_Now_World_Tour,1850159,27965,27965
Edmonton,Canada,Rexall Place,Speak_Now_World_Tour,2136270,25336,25336
Edmonton,Canada,Rexall Place,Speak_Now_World_Tour,2136270,25336,25336
Los Angeles,United States,Staples Center,Speak_Now_World_Tour,3927154,54900,54900
Los Angeles,United States,Staples Center,Speak_Now_World_Tour,3927154,54900,54900
Los Angeles,United States,Staples Center,Speak_Now_World_Tour,3927154,54900,54900
Los Angeles,United States,Staples Center,Speak_Now_World_Tour,3927154,54900,54900
San Jose,United States,HP Pavilion,Speak_Now_World_Tour,1825448,24827,24827
San Jose,United States,HP Pavilion,Speak_Now_World_Tour,1825448,24827,24827
Sacramento,United States,Power Balance Pavilion,Speak_Now_World_Tour,934326,12432,12432
Portland,United States,Rose Garden Arena,Speak_Now_World_Tour,903445,13610,13610
Tacoma,United States,Tacoma Dome,Speak_Now_World_Tour,1289430,19904,19904
Vancouver,Canada,Rogers Arena,Speak_Now_World_Tour,2190680,26030,26030
Vancouver,Canada,Rogers Arena,Speak_Now_World_Tour,2190680,26030,26030
Nashville,United States,Bridgestone Arena,Speak_Now_World_Tour,1841134,28178,28178
Nashville,United States,Bridgestone Arena,Speak_Now_World_Tour,1841134,28178,28178
Bossier City,United States,CenturyLink Center,Speak_Now_World_Tour,728546,11510,11510
Tulsa,United States,BOK Center,Speak_Now_World_Tour,907573,12546,12546
Kansas City,United States,Arrowhead Stadium,Speak_Now_World_Tour,3148046,48562,48562
Denver,United States,Pepsi Center,Speak_Now_World_Tour,834916,12908,12908
Salt Lake City,United States,EnergySolutions Arena,Speak_Now_World_Tour,896946,13720,13720
Atlanta,United States,Philips Arena,Speak_Now_World_Tour,1726661,26244,26244
Atlanta,United States,Philips Arena,Speak_Now_World_Tour,1726661,26244,26244
North Little Rock,United States,Verizon Arena,Speak_Now_World_Tour,856123,13566,13566
New Orleans,United States,New Orleans Arena,Speak_Now_World_Tour,830289,12943,12943
Arlington,United States,Cowboys Stadium,Speak_Now_World_Tour,4337062,55451,55451
Louisville,United States,KFC Yum! Center,Speak_Now_World_Tour,1003828,14848,14848
Lubbock,United States,United Spirit Arena,Speak_Now_World_Tour,710426,10419,10419
Oklahoma City,United States,Chesapeake Energy Arena,Speak_Now_World_Tour,758364,11592,11592
San Diego,United States,Valley View Casino Center,Speak_Now_World_Tour,792634,10834,10834
Glendale,United States,Jobing.com Arena,Speak_Now_World_Tour,1826025,27029,27029
Glendale,United States,Jobing.com Arena,Speak_Now_World_Tour,1826025,27029,27029
San Antonio,United States,AT&T Center,Speak_Now_World_Tour,901535,13851,13851
Austin,United States,Frank Erwin Center,Speak_Now_World_Tour,752078,11999,11999
Lexington,United States,Rupp Arena,Speak_Now_World_Tour,1041935,16237,16237
Memphis,United States,FedExForum,Speak_Now_World_Tour,820036,12604,12604
Houston,United States,Minute Maid Park,Speak_Now_World_Tour,3435756,42095,42095
Jacksonville,United States,Jacksonville Veterans Memorial Arena,Speak_Now_World_Tour,749099,11785,11785
Tampa,United States,St. Pete Times Forum,Speak_Now_World_Tour,914300,13695,13695
Miami,United States,American Airlines Arena,Speak_Now_World_Tour,786904,12153,12153
Charlotte,United States,Time Warner Cable Arena,Speak_Now_World_Tour,920903,14272,14272
Raleigh,United States,RBC Center,Speak_Now_World_Tour,866056,13567,13567
Columbia,United States,Colonial Life Arena,Speak_Now_World_Tour,828231,12807,12807
